AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1643.00, GY: -292.00, GZ: -27.00
AX: -0.04, AY: -0.00, AZ: -1.00, GX: -1575.00, GY: -253.00, GZ: -18.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1564.00, GY: -322.00, GZ: -27.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1557.00, GY: -256.00, GZ: -60.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1605.00, GY: -266.00, GZ: -2.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1614.00, GY: -268.00, GZ: -47.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1589.00, GY: -287.00, GZ: -19.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1583.00, GY: -274.00, GZ: 15.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1597.00, GY: -252.00, GZ: -19.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1575.00, GY: -274.00, GZ: -23.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1582.00, GY: -289.00, GZ: -28.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1580.00, GY: -297.00, GZ: 2.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1601.00, GY: -272.00, GZ: 1.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1559.00, GY: -267.00, GZ: -31.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1596.00, GY: -288.00, GZ: -32.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1595.00, GY: -263.00, GZ: 15.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1583.00, GY: -312.00, GZ: -26.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1580.00, GY: -310.00, GZ: -35.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1598.00, GY: -300.00, GZ: -5.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1599.00, GY: -288.00, GZ: 22.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1591.00, GY: -283.00, GZ: -37.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1559.00, GY: -289.00, GZ: -33.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1627.00, GY: -271.00, GZ: 9.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1581.00, GY: -254.00, GZ: 27.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1571.00, GY: -307.00, GZ: -13.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1598.00, GY: -288.00, GZ: -24.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1604.00, GY: -284.00, GZ: -3.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1571.00, GY: -305.00, GZ: -30.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1589.00, GY: -345.00, GZ: -33.00
AX: -0.05, AY: -0.00, AZ: -0.99, GX: -1575.00, GY: -289.00, GZ: -14.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1633.00, GY: -311.00, GZ: 23.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1578.00, GY: -260.00, GZ: -27.00
AX: -0.03, AY: 0.01, AZ: -1.00, GX: -1586.00, GY: -290.00, GZ: -36.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1595.00, GY: -260.00, GZ: 4.00
AX: -0.05, AY: 0.01, AZ: -0.99, GX: -1582.00, GY: -259.00, GZ: -1.00
AX: -0.03, AY: 0.00, AZ: -1.00, GX: -1625.00, GY: -301.00, GZ: -35.00
