AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1601.00, GY: -274.00, GZ: 7.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1607.00, GY: -303.00, GZ: -1.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1614.00, GY: -276.00, GZ: 7.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1581.00, GY: -276.00, GZ: -4.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1574.00, GY: -266.00, GZ: -17.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1638.00, GY: -275.00, GZ: 24.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1617.00, GY: -282.00, GZ: 28.00
AX: 0.01, AY: -0.01, AZ: -0.98, GX: -1603.00, GY: -270.00, GZ: -3.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1627.00, GY: -259.00, GZ: 10.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1596.00, GY: -250.00, GZ: 49.00
AX: 0.02, AY: 0.00, AZ: -0.99, GX: -1627.00, GY: -245.00, GZ: 27.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1614.00, GY: -275.00, GZ: -9.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1610.00, GY: -275.00, GZ: 6.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1641.00, GY: -283.00, GZ: -3.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1594.00, GY: -279.00, GZ: -1.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1605.00, GY: -265.00, GZ: -11.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1589.00, GY: -278.00, GZ: 26.00
AX: 0.01, AY: -0.00, AZ: -1.00, GX: -1617.00, GY: -251.00, GZ: 16.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1566.00, GY: -279.00, GZ: -12.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1623.00, GY: -290.00, GZ: 34.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1603.00, GY: -276.00, GZ: 0.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1624.00, GY: -277.00, GZ: -14.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1560.00, GY: -288.00, GZ: 3.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1603.00, GY: -264.00, GZ: 8.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1634.00, GY: -274.00, GZ: 0.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1640.00, GY: -258.00, GZ: -18.00
AX: 0.01, AY: -0.00, AZ: -1.00, GX: -1600.00, GY: -291.00, GZ: 3.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1620.00, GY: -268.00, GZ: 27.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1581.00, GY: -242.00, GZ: 18.00
AX: 0.02, AY: 0.00, AZ: -1.00, GX: -1618.00, GY: -310.00, GZ: 24.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1622.00, GY: -289.00, GZ: -6.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1598.00, GY: -272.00, GZ: 23.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1624.00, GY: -265.00, GZ: -2.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1620.00, GY: -267.00, GZ: -25.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1591.00, GY: -278.00, GZ: -11.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1592.00, GY: -297.00, GZ: 8.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1615.00, GY: -264.00, GZ: 20.00
AX: 0.01, AY: 0.00, AZ: -1.00, GX: -1579.00, GY: -271.00, GZ: -3.00
AX: 0.01, AY: -0.00, AZ: -1.00, GX: -1593.00, GY: -274.00, GZ: 23.00
AX: 0.01, AY: 0.00, AZ: -1.00, GX: -1626.00, GY: -276.00, GZ: 44.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1606.00, GY: -280.00, GZ: -2.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1591.00, GY: -300.00, GZ: -17.00
AX: 0.01, AY: -0.00, AZ: -1.00, GX: -1639.00, GY: -261.00, GZ: -5.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1586.00, GY: -270.00, GZ: 0.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1584.00, GY: -280.00, GZ: -5.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1581.00, GY: -290.00, GZ: -16.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1638.00, GY: -263.00, GZ: -22.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1596.00, GY: -268.00, GZ: 16.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1624.00, GY: -269.00, GZ: 11.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1632.00, GY: -305.00, GZ: 29.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1589.00, GY: -271.00, GZ: 18.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1591.00, GY: -270.00, GZ: 21.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1596.00, GY: -266.00, GZ: 39.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1630.00, GY: -269.00, GZ: 0.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1632.00, GY: -263.00, GZ: 5.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1624.00, GY: -242.00, GZ: -11.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1599.00, GY: -278.00, GZ: -19.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1607.00, GY: -261.00, GZ: 13.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1610.00, GY: -278.00, GZ: 28.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1634.00, GY: -266.00, GZ: 18.00
AX: 0.02, AY: 0.00, AZ: -0.99, GX: -1596.00, GY: -271.00, GZ: 27.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1616.00, GY: -261.00, GZ: -5.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1601.00, GY: -287.00, GZ: 37.00
AX: 0.01, AY: 0.00, AZ: -1.00, GX: -1604.00, GY: -264.00, GZ: 17.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1606.00, GY: -266.00, GZ: 4.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1614.00, GY: -252.00, GZ: 4.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1603.00, GY: -276.00, GZ: 11.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1597.00, GY: -250.00, GZ: 7.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1608.00, GY: -288.00, GZ: -19.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1622.00, GY: -283.00, GZ: 2.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1617.00, GY: -270.00, GZ: 0.00
AX: 0.02, AY: 0.00, AZ: -0.99, GX: -1602.00, GY: -288.00, GZ: 17.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1612.00, GY: -249.00, GZ: 17.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1615.00, GY: -256.00, GZ: 18.00
